
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    142.107.66.34:59775    204.40.130.129:9001    CLOSE_WAIT      20812
  TCP    142.107.66.34:60678    204.40.194.129:3128    ESTABLISHED     10660
  TCP    142.107.66.34:60816    204.40.194.129:3128    ESTABLISHED     9844
  TCP    142.107.66.34:60827    204.40.194.129:3128    TIME_WAIT       0
  TCP    142.107.66.34:60858    204.40.194.129:3128    ESTABLISHED     9844
  TCP    142.107.66.34:60899    204.40.194.129:3128    ESTABLISHED     9844
  TCP    142.107.66.34:60920    204.40.194.129:3128    ESTABLISHED     9844
  TCP    142.107.66.34:60962    204.40.194.129:3128    ESTABLISHED     9844
  TCP    142.107.66.34:61022    204.40.194.129:3128    TIME_WAIT       0
  TCP    142.107.66.34:61023    204.40.194.129:3128    TIME_WAIT       0
  TCP    142.107.66.34:61027    204.40.194.129:3128    ESTABLISHED     10660
  TCP    142.107.66.34:61039    204.40.194.129:3128    ESTABLISHED     9844
  TCP    142.107.66.34:61208    204.40.194.129:3128    ESTABLISHED     9844
  TCP    142.107.66.34:61223    204.40.194.129:3128    ESTABLISHED     9844
  TCP    142.107.66.34:61258    204.40.130.129:3128    CLOSE_WAIT      20812
  TCP    142.107.66.34:61277    204.40.194.129:3128    ESTABLISHED     9844
  TCP    142.107.66.34:61306    204.40.194.129:3128    ESTABLISHED     9844
  TCP    142.107.66.34:61357    204.40.194.129:3128    ESTABLISHED     10660
  TCP    142.107.66.34:61375    204.40.194.129:3128    ESTABLISHED     10660
  TCP    142.107.66.34:61378    142.107.194.42:5005    TIME_WAIT       0
  TCP    142.107.66.34:61388    10.200.3.14:9083       TIME_WAIT       0
  TCP    142.107.66.34:61392    10.200.3.14:9083       TIME_WAIT       0
  TCP    142.107.66.34:61398    10.197.13.169:22       TIME_WAIT       0
  TCP    142.107.66.34:61400    204.40.194.129:3128    TIME_WAIT       0
  TCP    142.107.66.34:61401    204.40.194.129:3128    ESTABLISHED     9844
  TCP    142.107.66.34:61406    204.40.194.129:3128    ESTABLISHED     9844
  TCP    142.107.66.34:61412    204.40.194.129:3128    ESTABLISHED     9844
  TCP    142.107.66.34:61429    10.197.13.169:7080     ESTABLISHED     9844
  TCP    142.107.66.34:61448    204.40.194.129:3128    ESTABLISHED     15468
  TCP    142.107.66.34:61450    204.40.194.129:3128    ESTABLISHED     9844
  TCP    142.107.66.34:61452    204.40.194.129:3128    ESTABLISHED     9844
  TCP    142.107.66.34:61453    204.40.194.129:3128    ESTABLISHED     9844
  TCP    142.107.66.34:61456    172.217.12.180:443     SYN_SENT        9844
  TCP    142.107.66.34:61457    204.40.194.129:3128    ESTABLISHED     9844
  TCP    142.107.66.34:61458    172.217.12.180:443     SYN_SENT        9844
  TCP    142.107.66.34:62653    10.101.0.33:445        ESTABLISHED     4
  TCP    142.107.66.34:62853    10.194.73.19:5061      ESTABLISHED     10612
  TCP    142.107.66.34:62909    204.40.130.129:3128    ESTABLISHED     10660
  TCP    142.107.66.34:62910    204.40.130.129:3128    ESTABLISHED     10660
  TCP    142.107.66.34:64144    10.194.71.199:60010    ESTABLISHED     3860
  TCP    142.107.66.34:64145    10.194.71.199:60010    ESTABLISHED     3860
  TCP    142.107.66.34:65482    10.101.0.249:445       ESTABLISHED     4
  TCP    [::]:135               [::]:0                 LISTENING       316
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:1521              [::]:0                 LISTENING       3312
  TCP    [::]:2179              [::]:0                 LISTENING       3548
  TCP    [::]:3465              [::]:0                 LISTENING       3428
  TCP    [::]:3938              [::]:0                 LISTENING       7008
  TCP    [::]:5520              [::]:0                 LISTENING       6916
  TCP    [::]:9083              [::]:0                 LISTENING       2284
  TCP    [::]:29916             [::]:0                 LISTENING       20612
  TCP    [::]:49595             [::]:0                 LISTENING       868
  TCP    [::]:49640             [::]:0                 LISTENING       5068
  TCP    [::]:49653             [::]:0                 LISTENING       860
  TCP    [::]:49664             [::]:0                 LISTENING       792
  TCP    [::]:49665             [::]:0                 LISTENING       1124
  TCP    [::]:49666             [::]:0                 LISTENING       668
  TCP    [::]:49667             [::]:0                 LISTENING       868
  TCP    [::]:50128             [::]:0                 LISTENING       4
  TCP    [::]:50570             [::]:0                 LISTENING       20612
  TCP    [::]:62491             [::]:0                 LISTENING       3712
  TCP    [::1]:49152            [::]:0                 LISTENING       3396
  UDP    0.0.0.0:123            *:*                                    1132
  UDP    0.0.0.0:500            *:*                                    668
  UDP    0.0.0.0:3700           *:*                                    3556
  UDP    0.0.0.0:4500           *:*                                    668
  UDP    0.0.0.0:5050           *:*                                    1132
  UDP    0.0.0.0:5353           *:*                                    9844
  UDP    0.0.0.0:5353           *:*                                    1268
  UDP    0.0.0.0:5353           *:*                                    9844
  UDP    0.0.0.0:5355           *:*                                    1268
  UDP    0.0.0.0:52859          *:*                                    3444
  UDP    0.0.0.0:58938          *:*                                    2708
  UDP    10.0.75.1:137          *:*                                    4
  UDP    10.0.75.1:138          *:*                                    4
  UDP    10.0.75.1:1900         *:*                                    7252
  UDP    10.0.75.1:5353         *:*                                    2708
  UDP    10.0.75.1:65275        *:*                                    7252
  UDP    127.0.0.1:1900         *:*                                    7252
  UDP    127.0.0.1:49903        *:*                                    4448
  UDP    127.0.0.1:50365        *:*                                    1268
  UDP    127.0.0.1:51767        *:*                                    868
  UDP    127.0.0.1:53115        *:*                                    12200
  UDP    127.0.0.1:53864        *:*                                    12596
  UDP    127.0.0.1:53865        *:*                                    12596
  UDP    127.0.0.1:55689        *:*                                    15456
  UDP    127.0.0.1:55690        *:*                                    2860
  UDP    127.0.0.1:55691        *:*                                    15456
  UDP    127.0.0.1:56000        *:*                                    11424
  UDP    127.0.0.1:56493        *:*                                    15208
  UDP    127.0.0.1:56494        *:*                                    15208
  UDP    127.0.0.1:57076        *:*                                    10560
  UDP    127.0.0.1:57077        *:*                                    10560
  UDP    127.0.0.1:57707        *:*                                    3436
  UDP    127.0.0.1:58448        *:*                                    15468
  UDP    127.0.0.1:58942        *:*                                    2700
  UDP    127.0.0.1:58943        *:*                                    2700
  UDP    127.0.0.1:61690        *:*                                    13192
  UDP    127.0.0.1:62795        *:*                                    10468
  UDP    127.0.0.1:63040        *:*                                    3860
  UDP    127.0.0.1:63231        *:*                                    668
  UDP    127.0.0.1:63958        *:*                                    5664
  UDP    127.0.0.1:65277        *:*                                    7252
  UDP    127.0.0.1:65357        *:*                                    88160
  UDP    127.0.0.1:65358        *:*                                    88160
  UDP    142.107.66.34:137      *:*                                    4
  UDP    142.107.66.34:138      *:*                                    4
  UDP    142.107.66.34:1900     *:*                                    7252
  UDP    142.107.66.34:5353     *:*                                    2708
  UDP    142.107.66.34:65276    *:*                                    7252
  UDP    [::]:123               *:*                                    1132
  UDP    [::]:500               *:*                                    668
  UDP    [::]:4500              *:*                                    668
  UDP    [::]:58939             *:*                                    2708
  UDP    [::1]:1900             *:*                                    7252
  UDP    [::1]:5353             *:*                                    2708
  UDP    [::1]:65274            *:*                                    7252
